date,yhat,sentiment_score,event,impact
2016-12-04,69.5611885671143,0.0,No Event,None
2016-12-05,89.07268953259994,0.0,No Event,None
2016-12-06,64.60835923347767,0.0,No Event,None
2016-12-07,70.51459142361043,0.0,No Event,None
2016-12-08,77.98727211158976,0.0,No Event,None
2016-12-09,80.56847508942076,0.0,No Event,None
2016-12-10,72.99820744934485,0.0,No Event,None
2016-12-11,60.11712533508376,0.0,No Event,None
2016-12-12,80.6058941588416,0.0,No Event,None
2016-12-13,57.291212261339936,0.0,No Event,None
2016-12-14,64.49292325129966,0.0,No Event,None
2016-12-15,73.37633024730854,0.0,No Event,None
2016-12-16,77.44970431869724,0.0,No Event,None
2016-12-17,71.41693055740902,0.0,No Event,None
2016-12-18,60.081187616983925,0.0,No Event,None
2016-12-19,82.08530877296114,0.0,No Event,None
2016-12-20,60.218816352618674,0.0,No Event,None
2016-12-21,68.76602740023748,0.0,No Event,None
2016-12-22,78.8593169562466,0.0,No Event,None
2016-12-23,83.9775056330678,0.0,No Event,None
2016-12-24,78.79929132123235,0.0,No Event,None
2016-12-25,68.10759978606538,0.0,No Event,None
2016-12-26,90.53048435936054,0.0,No Event,None
2016-12-27,68.84855235534806,0.0,No Event,None
2016-12-28,77.34330588778934,0.0,No Event,None
2016-12-29,87.15047757302149,0.0,No Event,None
2016-12-30,91.75832634841056,0.0,No Event,None
2016-12-31,85.86081624811521,0.0,No Event,None
2017-01-01,74.26156026337217,0.0,No Event,None
2017-01-02,95.61417100392224,0.0,No Event,None
2017-01-03,72.72901109821873,0.0,No Event,None
2017-01-04,79.92074969116351,0.0,No Event,None
2017-01-05,88.3608270374691,0.0,No Event,None
2017-01-06,91.57481616910998,0.0,No Event,None
